fiscal_quarter,period_end,revenue_usd_m,comp_sales_pct,comp_transactions_pct,comp_ticket_pct,store_count_end,source
Q1 FY24,2023-12-31,735.0,10,21,-9,6975,Press release Q1 FY2025 (kolom tahun lalu)
Q2 FY24,2024-03-31,705.8,-11,-4,-8,7093,Press release Q2 FY2025 (kolom tahun lalu)
Q3 FY24,2024-06-30,733.8,-14,-7,-7,7306,Press release Q3 FY2025 (kolom tahun lalu)
Q4 FY24,2024-09-29,783.7,-14,-6,-8,7596,Press release Q4 FY2024
Q1 FY25,2024-12-29,743.6,-6,-2,-4,7685,Press release Q1 FY2025
Q2 FY25,2025-03-30,739.7,-0.1,4.4,-4.2,7758,Press release Q2 FY2025 / Q2 FY2026
Q3 FY25,2025-06-29,790.0,2,6,-4,7828,Press release Q3 FY2025
Q4 FY25,2025-09-28,831.6,2,9,-7,8011,Press release Q4 FY2025
Q1 FY26,2025-12-28,823.4,7,5,2,8011,Press release Q1 FY2026
Q2 FY26,2026-03-29,799.8,0.5,2.1,-1.6,7991,Press release Q2 FY2026 (kuartal terakhir sebagai company-operated)
